Frequency of observations in the selected location(s).:
Number of taxa:	98

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	

Mute Swan (Cygnus olor)	0	0	0	0	0.075	0	0	0	0	0	0	0	0	0.075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0015	0	0.15	0	0.0015	0	0	0	0	0	0	0	
Tundra Swan (Cygnus columbianus)	0	0	0	0	0	0.075	0	0	0	0	0	0	0	0	0.0015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Mandarin Duck (Aix galericulata)	0	0	0	0	0	0.075	0	0	0.0015	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.075	
Northern Shoveler (Spatula clypeata)	0.15	0	0.25	0.03	0.25	0.25	0.5	0	0	0.075	0.25	0.15	0.15	0.15	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0.0015	0.075	0.075	0	0.0015	0	0.075	0.0015	0	0.15	
Gadwall (Mareca strepera)	0	0	0.0015	0	0.0015	0	0.075	0	0.03	0	0.15	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Falcated Duck (Mareca falcata)	0.075	0	0	0	0	0	0	0	0	0	0.075	0.03	0	0	0	0.0015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Eurasian Wigeon (Mareca penelope)	0.15	0	0.15	0.03	0.075	0.15	0	0	0	0	0.15	0.075	0	0.075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0.075	0.0015	0.15	0.25	0.15	0	0.0015	0	0.075	
Eastern Spot-billed Duck (Anas zonorhyncha)	0.35	0.5	0.25	0.25	0.5	0.15	0.5	0.5	0.25	0.35	0.5	0.25	0.35	0.5	0.5	0.35	0.25	0.15	0.25	0.15	0.0015	0.25	0.5	0.5	0.15	0.35	0.5	0.5	0.35	0.25	0.15	0.5	0	0.35	0.35	0.15	0.15	0.25	0.5	0.25	0.075	0.5	0.0015	0.0015	0.5	0.5	0.15	0.15	
Mallard (Anas platyrhynchos)	0.25	0.0015	0.25	0.03	0.075	0.15	0.25	0.15	0.03	0.075	0.15	0.075	0.03	0.15	0	0	0	0	0	0	0.0015	0	0	0	0	0	0	0	0	0	0	0	0	0.35	0.15	0.0015	0	0	0.25	0.075	0.0015	0.15	0.15	0.15	0.075	0.0015	0	0.075	
Northern Pintail (Anas acuta)	0.35	0.0015	0.8	0.35	0.8	0.35	0.8	0.5	0.5	0.35	0.35	0.15	0.15	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0.35	0.0015	0.15	0.35	0.35	0.25	0.5	0.35	0.8	0.8	0.5	0.075	0.35	
Green-winged Teal (Anas crecca)	0.075	0	0.25	0	0	0.0015	0.15	0	0.03	0.075	0	0	0.075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0.35	0	0.0015	0	0	
Common Pochard (Aythya ferina)	0.35	0.25	0.0015	0.25	0.25	0.25	0.35	0.35	0.25	0.075	0.25	0.15	0.15	0.15	0.075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0	0	0	0.0015	0	0.075	0.35	0.35	0.8	0.25	0.5	0.0015	0.5	
Ring-necked Duck (Aythya collaris)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0015	0	
Baer's Pochard (Aythya baeri)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0015	0	
Tufted Duck (Aythya fuligula)	0.5	0.25	0.8	0.25	0.5	0.35	0.8	0.5	0.5	0.35	0.5	0.25	0.35	0.5	0.25	0.0015	0	0	0.075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.075	0.25	0.25	0.25	0.5	0.35	0.8	0.5	0.5	0.075	0.5	
Greater Scaup (Aythya marila)	0.075	0	0	0	0.075	0	0	0	0	0	0.075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.075	0	0	0	0	0	0	0	0.075	
Common Goldeneye (Bucephala clangula)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0	
Common Merganser (Mergus merganser)	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Green Pheasant (Phasianus versicolor)	0	0	0	0	0	0	0	0	0.0015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Rock Pigeon (Columba livia)	0.8	0.25	0.8	0.8	0.8	0.5	0.8	0.5	0.8	0.8	0.8	0.5	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.5	0.8	0.8	0.8	0.8	0.5	0.8	0.8	0.8	0.8	0.8	0.8	0.5	0.8	0.8	0.5	0.8	0.8	0.5	0.8	0.8	0.8	0.35	0.5	0.5	0.8	0.8	0.35	
Oriental Turtle-Dove (Streptopelia orientalis)	0.5	0.25	0.5	0.35	0.5	0.15	0.5	0.5	0.5	0.35	0.25	0.5	0.5	0.5	0.5	0.8	0.15	0.35	0.25	0.25	0.25	0.5	0.35	0.15	0.35	0.0015	0.35	0.35	0.35	0.0015	0.15	0.25	0.5	0.8	0.35	0.5	0.15	0.35	0.25	0.35	0.35	0.8	0.35	0.15	0.5	0.8	0.8	0.5	
White-bellied Green-Pigeon (Treron sieboldii)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0	0	0	0	0	0.075	0	0	0	0	0	0	0	0	
Pacific Swift (Apus pacificus)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0.0015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
House Swift (Apus nipalensis)	0	0	0	0	0	0	0.075	0	0	0	0.075	0	0	0	0	0	0	0	0.075	0	0	0.15	0.15	0.075	0.15	0	0.15	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	
Eurasian Moorhen (Gallinula chloropus)	0.15	0	0.25	0	0.15	0.25	0.075	0.15	0.03	0	0	0.075	0.03	0.075	0.075	0.15	0.075	0	0	0.075	0	0	0	0	0	0	0	0	0	0	0	0.0015	0	0	0	0.15	0	0	0	0	0	0	0	0	0.15	0	0	0.15	
Eurasian Coot (Fulica atra)	0.5	0.5	0.5	0.35	0.8	0.35	0.8	0.5	0.5	0.25	0.8	0.35	0.5	0.5	0.5	0.0015	0.075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0015	0.075	0	0.35	0.15	0.35	0	0.8	0.5	0.5	0.075	0.35	
Little Ringed Plover (Thinornis dubius)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Common Snipe (Gallinago gallinago)	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Saunders's Gull (Saundersilarus saundersi)	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Black-headed Gull (Chroicocephalus ridibundus)	0.5	0.25	0.5	0.25	0.5	0.15	0.8	0.5	0.5	0.35	0.5	0.5	0.5	0.8	0.8	0.35	0	0.075	0.075	0	0	0	0	0.075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0.075	0.5	0.15	0.5	0.35	0.8	0.15	0.5	
Black-tailed Gull (Larus crassirostris)	0	0	0.15	0	0.15	0.15	0.15	0.25	0.25	0.075	0.5	0.25	0.35	0.5	0.25	0.15	0.15	0.0015	0.15	0.0015	0	0.075	0.15	0.075	0.15	0.15	0.15	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0	0	0	0	0	0.15	
Common Gull (Larus canus)	0	0	0	0.03	0	0	0	0	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.075	
Vega Gull (Larus vegae)	0.25	0	0.15	0.075	0.25	0.15	0.15	0.075	0.15	0.0015	0.075	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35	0	0	0	0.15	
Lesser Black-backed Gull (Larus fuscus)	0	0	0	0	0	0	0	0	0	0	0.0015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Slaty-backed Gull (Larus schistisagus)	0	0	0	0.03	0	0.075	0	0	0	0	0	0	0.0015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0	
Little Tern (Sternula albifrons)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Little Grebe (Tachybaptus ruficollis)	0.25	0	0.25	0.15	0.25	0.075	0.25	0.35	0.25	0.075	0.35	0.25	0.25	0.075	0.5	0.15	0.15	0.15	0.075	0.15	0	0.0015	0.25	0.075	0.15	0	0.15	0.35	0	0.25	0	0.5	0	0	0.25	0.15	0.15	0.075	0.25	0.15	0.075	0.15	0.15	0.35	0.25	0.5	0	0	
Great Crested Grebe (Podiceps cristatus)	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Great Cormorant (Phalacrocorax carbo)	0.5	0.8	0.8	0.5	0.8	0.25	0.8	0.8	0.5	0.5	0.8	0.8	0.8	0.5	0.8	0.8	0.35	0.5	0.8	0.5	0.8	0.8	0.5	0.5	0.8	0.35	0.35	0.35	0	0.0015	0.15	0.35	0.5	0.8	0.35	0.8	0.35	0.25	0.5	0.8	0.5	0.8	0.5	0.8	0.8	0.8	0.5	0.5	
Black-crowned Night Heron (Nycticorax nycticorax)	0	0	0	0	0.075	0.075	0.35	0	0.075	0	0.075	0	0.03	0.15	0.15	0	0	0.25	0.15	0.075	0	0.15	0.0015	0	0	0.15	0.0015	0.35	0	0	0.15	0.15	0	0	0.15	0	0	0	0	0	0	0	0	0.0015	0	0	0	0.075	
Little Egret (Egretta garzetta)	0.5	0.25	0.25	0.15	0.8	0.15	0.5	0.5	0.35	0.15	0.35	0.5	0.35	0.25	0.5	0.35	0.15	0.35	0.25	0	0.25	0.15	0.25	0.35	0.25	0.15	0.15	0.35	0	0.0015	0.15	0.35	0.25	0	0.15	0.35	0.15	0.075	0.5	0.15	0.15	0.35	0.15	0.35	0.25	0.5	0.0015	0.35	
Great Egret (Ardea alba)	0.15	0.25	0.0015	0.03	0.25	0.075	0.5	0.25	0.5	0.25	0.5	0.15	0.03	0.35	0.25	0.25	0	0.35	0.075	0.075	0	0.15	0	0.15	0.25	0	0.0015	0.15	0	0	0	0.0015	0	0	0.15	0.15	0	0.075	0.15	0	0.075	0.15	0.15	0.15	0.075	0.0015	0	0.15	
Medium Egret (Ardea intermedia)	0	0	0	0	0	0.0015	0.075	0.075	0	0	0.075	0	0	0	0.15	0	0	0	0	0	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0	0	0	0	0	0	
Gray Heron (Ardea cinerea)	0.35	0.5	0.5	0.15	0.35	0.15	0.5	0.5	0.35	0.25	0.5	0.35	0.25	0.5	0.8	0.35	0.35	0.5	0.35	0.25	0.25	0.25	0.35	0.075	0.15	0.15	0.15	0.15	0	0.5	0	0.25	0	0	0.25	0.35	0	0.15	0.25	0	0.075	0	0.15	0.5	0.5	0.5	0.075	0.15	
Osprey (Pandion haliaetus)	0	0	0	0	0	0	0.075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.075	0	0	0	0	0	0	0	0	
Japanese Sparrowhawk (Tachyspiza gularis)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Eurasian Sparrowhawk (Accipiter nisus)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0015	0.25	0.075	0.075	
Black Kite (Milvus migrans)	0.25	0.25	0	0.075	0	0	0	0.075	0.0015	0	0	0	0.03	0	0	0	0	0	0	0	0	0.075	0	0	0	0	0	0	0	0	0	0	0	0.35	0.15	0	0	0	0	0	0	0	0	0	0.0015	0	0	0.075	
Eastern Buzzard (Buteo japonicus)	0.075	0	0	0.03	0	0	0	0	0	0	0	0	0.0015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	
Common Kingfisher (Alcedo atthis)	0.25	0	0.5	0.03	0.075	0.15	0.25	0.25	0.15	0	0.25	0.15	0.03	0	0.075	0.15	0	0.075	0	0	0	0.075	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0015	0	0.075	0	0.15	0	0	0	0.0015	0.075	0.25	0	0.075	
Japanese Pygmy Woodpecker (Yungipicus kizuki)	0.25	0	0	0.075	0.075	0.0015	0	0.075	0.03	0	0	0.075	0.03	0.0015	0.075	0.25	0	0	0	0.0015	0	0.075	0.15	0.15	0	0	0	0	0	0	0	0.15	0	0	0.15	0	0.15	0.075	0	0.075	0.075	0	0	0	0	0.25	0	0.075	
Great Spotted Woodpecker (Dendrocopos major)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Japanese Woodpecker (Picus awokera)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0015	0	0	0	0	0	0	0	
Rose-ringed Parakeet (Psittacula krameri)	0.15	0.25	0.15	0.25	0.0015	0.25	0.15	0.075	0.15	0.15	0.075	0.075	0.0015	0.075	0.075	0	0	0.075	0	0.0015	0.25	0.075	0	0	0	0	0	0	0	0	0	0.15	0	0	0.15	0.15	0	0.075	0.0015	0.25	0.15	0.5	0.25	0.15	0.35	0.5	0.25	0.15	
Ryukyu Minivet (Pericrocotus tegimae)	0	0	0	0	0.075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bull-headed Shrike (Lanius bucephalus)	0	0	0	0.03	0	0	0	0.075	0	0	0	0	0	0	0.075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0015	0	0.15	0	0.0015	0	0	0	0	
Eurasian Jay (Garrulus glandarius)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0015	0	
