Frequency of observations in the selected location(s).:
Number of taxa:	103

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	

Cackling Goose (Branta hutchinsii)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0015	
Mute Swan (Cygnus olor)	0	0	0	0	0	0	0	0.0015	0	0	0.03	0	0.0015	0.0015	0	0	0	0	0.075	0	0	0	0	0	0	0	0	0.0015	0	0	0	0	0	0	0	0.0015	0	0	0	0	0	0	0	0	0	0	0	0	
Tundra Swan (Cygnus columbianus)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0015	
Baikal Teal (Sibirionetta formosa)	0	0	0	0	0	0	0	0	0.03	0.0015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	
Garganey (Spatula querquedula)	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Northern Shoveler (Spatula clypeata)	0.25	0.35	0.15	0.25	0.15	0.25	0.075	0.15	0.25	0.35	0.25	0.15	0.15	0.15	0.03	0	0	0.075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.075	0.25	0.075	0.25	0.15	0.5	0.15	0.25	0.0015	0.15	
Gadwall (Mareca strepera)	0	0.15	0	0.03	0.03	0.075	0.03	0.0015	0.075	0.075	0.0015	0.03	0.03	0.075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0.075	0.15	0	0.15	0.075	0	0	0.03	
Falcated Duck (Mareca falcata)	0.0015	0	0.03	0.075	0	0.075	0	0.0015	0.03	0.03	0.03	0.075	0	0.075	0	0.075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0.075	0	0.03	0.0015	0	0.0015	0.075	
Eurasian Wigeon (Mareca penelope)	0.15	0.15	0.03	0.075	0.03	0.35	0.03	0.15	0	0.0015	0.075	0.0015	0.03	0.0015	0.075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0015	0	0	0	0.075	0.15	0.15	0.075	0.15	0.075	0.0015	0.15	0.075	
Eastern Spot-billed Duck (Anas zonorhyncha)	0.8	0.8	0.8	0.5	0.8	0.5	0.5	0.8	0.5	0.5	0.8	0.5	0.5	0.8	0.5	0.8	0.5	0.8	0.5	0.5	0.35	0.8	0.35	0.8	0.5	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.5	0.5	0.5	0.5	0.5	0.5	0.8	0.5	0.5	0.35	
Mallard (Anas platyrhynchos)	0.15	0.15	0.25	0.075	0.15	0.15	0.0015	0.075	0.15	0.25	0.25	0.075	0.075	0	0	0	0	0	0	0.0015	0	0.075	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.0015	0	0.075	0	0.25	0.15	0.35	0.075	0.15	0.25	0.0015	0.0015	0.25	
Northern Pintail (Anas acuta)	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.35	0.25	0.075	0.03	0.0015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0.5	0.5	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	
Green-winged Teal (Anas crecca)	0.15	0.25	0.03	0.075	0.03	0.075	0.25	0.075	0.15	0.075	0.075	0.03	0.03	0.03	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0015	0	0	0	0.075	0.03	0	0	0.15	0.075	0.075	0.25	0.03	
Common Pochard (Aythya ferina)	0.8	0.8	0.8	0.5	0.35	0.8	0.5	0.5	0.5	0.8	0.5	0.25	0.15	0.25	0.075	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.075	0.25	0.5	0.5	0.8	0.8	0.8	0.8	0.8	
Ring-necked Duck (Aythya collaris)	0	0	0	0	0.0015	0	0.0015	0	0.0015	0	0	0.0015	0.0015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.075	0	0	0	0	0.0015	0.03	
Baer's Pochard (Aythya baeri)	0	0	0	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.075	0	0.03	0	0	0	0.03	
Tufted Duck (Aythya fuligula)	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.5	0.5	0.25	0.15	0.03	0	0.075	0	0	0	0	0.0015	0	0	0	0	0	0.0015	0	0	0	0	0	0	0	0	0.15	0.5	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	
Greater Scaup (Aythya marila)	0.03	0.075	0.03	0.03	0.03	0.03	0	0	0	0.075	0	0.0015	0.03	0.075	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.075	0.03	0	0.15	0	0.075	0	0.0015	0	0.15	
Common Goldeneye (Bucephala clangula)	0	0	0	0	0	0	0.03	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0015	0	
Smew (Mergellus albellus)	0.03	0	0	0	0.0015	0	0.0015	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0.0015	0.0015	0	
Rock Pigeon (Columba livia)	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.5	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.5	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.5	0.8	0.5	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.5	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.5	
Oriental Turtle-Dove (Streptopelia orientalis)	0.15	0.35	0.25	0.25	0.5	0.25	0.25	0.15	0.35	0.25	0.35	0.15	0.15	0.25	0.15	0.25	0.5	0.5	0.15	0.15	0	0.0015	0.25	0.35	0.5	0.15	0.15	0.25	0.5	0	0.15	0.25	0.15	0.5	0.5	0.25	0.25	0.35	0	0.35	0.15	0	0.075	0.15	0.35	0.25	0.8	0.25	
Pacific Swift (Apus pacificus)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0015	0	0	0	0.0015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0015	0	0	0	0	0	0	0	0	0	0	0	0	
House Swift (Apus nipalensis)	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0.15	0.075	0	0	0.15	0.0015	0.5	0.25	0.15	0.15	0	0	0	0.15	0.15	0	0	0.03	0.03	0	0	0	0	0	0	0	
Brown-cheeked Rail (Rallus indicus)	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Eurasian Moorhen (Gallinula chloropus)	0.075	0.15	0.075	0.15	0.03	0.15	0.25	0.25	0.25	0.15	0.25	0.075	0.0015	0.03	0.25	0.075	0.075	0	0	0	0	0.075	0	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0.03	0	0	0.075	0	0.075	0.0015	0.15	
Eurasian Coot (Fulica atra)	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.5	0.15	0.15	0	0	0	0	0	0	0	0.0015	0	0	0	0	0	0	0	0	0	0	0	0.15	0.35	0.15	0.8	0.8	0.5	0.8	0.8	0.8	0.8	0.8	0.8	
Ruddy-breasted Crake (Zapornia fusca)	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Black-winged Stilt (Himantopus himantopus)	0	0	0	0	0	0	0	0	0.0015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Saunders's Gull (Saundersilarus saundersi)	0	0	0	0	0	0	0	0.03	0	0.03	0.03	0	0	0	0.0015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	
Black-headed Gull (Chroicocephalus ridibundus)	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.25	0.25	0.25	0.075	0	0.15	0.15	0.15	0.075	0.15	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0.075	0.5	0.8	0.8	0.8	0.8	0.8	0.8	0.8	
Black-tailed Gull (Larus crassirostris)	0.0015	0	0.075	0.075	0.075	0.15	0.15	0.25	0.5	0.5	0.5	0.35	0.5	0.8	0.8	0.5	0	0.15	0.15	0.15	0	0.075	0.15	0.25	0.075	0.15	0.35	0.0015	0	0.25	0	0	0	0	0	0	0	0	0.075	0.03	0.075	0.25	0.075	0.03	0	0	0.25	0.075	
Common Gull (Larus canus)	0	0.075	0.03	0.03	0.03	0.03	0	0	0	0	0.15	0.03	0.03	0	0	0.0015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.075	0	0.075	0	0	0	0.075	
Vega Gull (Larus vegae)	0.15	0.15	0.15	0.15	0.15	0.15	0.25	0.075	0.15	0.25	0.35	0.03	0.075	0	0	0	0	0.075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.075	0.075	0.15	0.075	0.075	0.15	
Glaucous Gull (Larus hyperboreus)	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0.0015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Lesser Black-backed Gull (Larus fuscus)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Glaucous-winged Gull (Larus glaucescens)	0	0	0	0	0	0	0	0.03	0.0015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Slaty-backed Gull (Larus schistisagus)	0.075	0	0	0.03	0.03	0.0015	0.03	0.075	0.0015	0	0.03	0.0015	0.0015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	
Common Tern (Sterna hirundo)	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Little Grebe (Tachybaptus ruficollis)	0.15	0.5	0.35	0.35	0.5	0.5	0.5	0.25	0.35	0.35	0.25	0.35	0.25	0.5	0.8	0.5	0.25	0.35	0.35	0.25	0.15	0.25	0.5	0.15	0	0.5	0.15	0.8	0.8	0.0015	0.5	0.5	0.25	0.8	0.8	0.5	0.8	0.5	0.5	0.5	0.5	0.35	0.25	0.15	0.35	0.15	0.25	0.15	
Great Crested Grebe (Podiceps cristatus)	0	0	0	0	0.03	0	0	0	0	0	0	0	0.0015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	
Streaked Shearwater (Calonectris leucomelas)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.075	0	0	0	0	0	0	
Great Cormorant (Phalacrocorax carbo)	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.25	0.8	0.8	0.5	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	
Black-crowned Night Heron (Nycticorax nycticorax)	0.03	0.15	0.15	0.075	0.0015	0.075	0.075	0.15	0.075	0.15	0.15	0.075	0.03	0.0015	0.15	0.25	0.5	0.25	0.15	0.15	0	0.075	0	0	0.0015	0	0.15	0	0.0015	0	0	0.0015	0	0.0015	0.25	0	0	0	0.0015	0.03	0	0	0	0.03	0	0	0.0015	0.15	
Pacific Reef-Heron (Egretta sacra)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Little Egret (Egretta garzetta)	0.5	0.8	0.5	0.5	0.8	0.5	0.5	0.5	0.8	0.8	0.5	0.5	0.8	0.8	0.8	0.5	0.5	0.5	0.35	0.35	0.8	0.25	0.35	0.25	0.15	0.8	0.35	0.5	0.8	0.5	0.5	0.5	0.25	0.5	0.8	0.5	0.5	0.5	0.5	0.8	0.5	0.5	0.15	0.5	0.5	0.25	0.5	0.35	
Little Heron (Butorides atricapilla)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Eastern Cattle-Egret (Ardea coromanda)	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Great Egret (Ardea alba)	0.15	0.25	0.35	0.25	0.35	0.25	0.25	0.5	0.8	0.8	0.8	0.5	0.5	0.5	0.5	0.5	0.5	0.35	0.25	0.15	0.15	0.075	0	0.0015	0.15	0.15	0.5	0	0	0	0.35	0.0015	0.25	0	0.25	0	0.15	0.15	0.075	0.25	0.25	0.15	0.075	0.03	0.075	0	0.15	0.25	
Medium Egret (Ardea intermedia)	0	0.075	0	0	0	0	0	0	0	0	0.075	0.075	0.03	0	0	0.0015	0.075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0	0.15	0	0.075	0.03	0	0	0	0	0	0.0015	0	0	
Gray Heron (Ardea cinerea)	0.5	0.5	0.5	0.8	0.8	0.5	0.5	0.5	0.8	0.8	0.8	0.5	0.5	0.5	0.8	0.8	0.8	0.8	0.8	0.5	0.5	0.25	0.5	0.15	0.25	0.25	0	0.5	0.5	0	0.35	0.5	0.15	0.5	0.8	0.15	0.5	0.35	0.25	0.15	0.35	0.15	0.25	0.35	0.15	0.35	0.8	0.5	
Osprey (Pandion haliaetus)	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Japanese Sparrowhawk (Tachyspiza gularis)	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0015	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Eurasian Sparrowhawk (Accipiter nisus)	0	0	0	0	0.03	0	0.03	0	0.0015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0.075	0.075	0	0.03	
Eastern Marsh Harrier (Circus spilonotus)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.075	0	0	0	0	0	0	0	0	0	0	
Black Kite (Milvus migrans)	0.15	0.15	0.15	0.15	0	0.03	0.075	0.075	0.075	0.075	0.15	0.03	0	0	0.0015	0	0.075	0	0	0.075	0	0	0	0	0.0015	0	0	0	0	0	0	0	0	0	0	0	0.0015	0	0	0	0.03	0.075	0.075	0.03	0.075	0	0	0.15	
